## FlowChart Generator
# label: %name%
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"parent", "to":"id", "fromlabel":"transition_label", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;"}
# connect: {"from":"red_parent", "to":"id", "fromlabel":"transition_label", "invert":true,"style":"endArrow=blockThin;endFill=1;fontSize=11;curved=1;strokeColor=#cd2122;fontColor=#cd2122;strokeWidth=3;"}
# labels: {"label1" : "%transition_label%"}
# ignore: source,base64_image,transition_label,parent,type,col
# styles: {"base64_image":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;", "entity":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;", "start":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;", "end":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;", "condition":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;", "base64_image_red":"shape=image;imageAspect=0;image=%base64_image%;fontColor=none;noLabel=1;strokeColor=#cd2122;strokeWidth=3;", "entity_red":"rounded=1;whiteSpace=wrap;html=1;absoluteArcSize=1;arcSize=14;strokeWidth=2;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "start_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.start_1;whiteSpace=wrap;align=center;verticalAlign=middle;strokeColor=#cd2122;strokeWidth=3;", "end_red":"ellipse;html=1;shape=endState;fillColor=strokeColor;verticalAlign=middle;fontColor=#FFFFFF;strokeColor=#cd2122;strokeWidth=3;", "condition_red":"strokeWidth=2;html=1;shape=mxgraph.flowchart.decision;whiteSpace=wrap;align=center;verticalAlign=middle;spacingRight=35;spacingLeft=35;strokeColor=#cd2122;strokeWidth=3;"}
# stylename: type
# width: auto
# height: auto
# padding: 20
# nodespacing: 60
# levelspacing: 150
# edgespacing: 60
# layout: verticalflow
# identity: id
id,name,type,parent,transition_label,source,base64_image
1,"start the process for Talent Seek","start","","","",""
2,"check Referee Reports completion status","condition","1","No","",""
3,"Referee Reports completed","condition","2","No","",""
4,"flag and send first reminder for Referee Reports","entity","3","","",""
5,"check Referee Reports completion status again","condition","4","No","",""
6,"Referee Reports completed after first reminder","condition","5","No","",""
7,"flag and send second reminder for Referee Reports","entity","6","","",""
8,"check Referee Reports completion status after second reminder","condition","7","No","",""
9,"Referee Reports finally completed","condition","8","No","",""
10,"handle incomplete Referee Reports after second reminder","entity","9","","",""
11,"organize interviews for Selection Panel with top candidates","entity","3,6,9","","",""
12,"receive feedback from interview candidates","entity","11","","",""
13,"is Psychometric Test required","condition","12","No","",""
14,"is HR Specialist required","condition","13","No","",""
15,"schedule Psychometric Test with third party by HR Specialist","entity","14","","",""
16,"complete Psychometric Test","entity","14","","",""
17,"coordinate second round selection","entity","15,16","","",""
18,"request final candidate ranking","entity","17","","",""
19,"continue with the process","entity","18","","",""
20,"end process for Talent Seek","end","10,19","","",""
