file,C1,C1_violating_nodes,C2,C2_violating_nodes,C3,C3_violating_nodes,C4,C4_violating_nodes,C5,C5_violating_nodes,C6,C6_violating_nodes,error
15.txt,True,,True,,True,,True,,True,,True,,
14.txt,True,,True,,True,,True,,False,"33, 38, 62",True,,
16.txt,True,,True,,True,,True,,False,15,True,,
17.txt,True,,True,,True,,False,24,True,,True,,
12.txt,True,,True,,True,,True,,False,14,True,,
10.txt,True,,True,,True,,True,,False,33,True,,
11.txt,True,,True,,True,,True,,True,,True,,
9.txt,True,,True,,True,,True,,True,,True,,
8.txt,True,,True,,True,,True,,False,19,True,,
5.txt,True,,True,,True,,True,,True,,True,,
4.txt,True,,True,,True,,True,,False,"6, 7, 13, 14, 20, 21, 24, 29, 30",True,,
6.txt,True,,True,,True,,True,,False,"5, 20",True,,
7.txt,True,,True,,True,,True,,True,,True,,
3.txt,True,,True,,True,,True,,True,,True,,
2.txt,True,,True,,True,,True,,True,,True,,
1.txt,True,,True,,True,,True,,True,,True,,
20.txt,True,,True,,True,,True,,True,,True,,
21.txt,True,,True,,True,,True,,True,,False,"42, 45, 48, 55, 39, 56, 54, 37, 40, 47, 46, 36, 35, 41, 49, 31, 50, 34, 33, 38, 44, 52, 30, 53, 43, 32, 51",
19.txt,True,,True,,True,,True,,False,11,True,,
18.txt,True,,True,,True,,True,,True,,True,,
