file,C1,C1_violating_nodes,C2,C2_violating_nodes,C3,C3_violating_nodes,C4,C4_violating_nodes,C5,C5_violating_nodes,C6,C6_violating_nodes,error
15.txt,True,,True,,True,,True,,False,"7, 9",True,,
14.txt,True,,True,,True,,True,,False,"12, 22, 26, 30, 34, 38, 42, 53, 57, 61, 65, 69, 73, 77",False,"42, 7, 3, 55, 60, 77, 65, 80, 20, 54, 37, 40, 78, 27, 47, 11, 36, 68, 35, 18, 49, 9, 61, 63, 31, 58, 76, 34, 79, 33, 70, 19, 28, 26, 10, 14, 44, 13, 5, 21, 30, 53, 8, 32, 16, 45, 72, 62, 48, 24, 57, 39, 15, 17, 56, 71, 66, 46, 22, 59, 12, 69, 41, 64, 50, 29, 38, 73, 25, 4, 23, 74, 52, 75, 67, 43, 6, 51",
16.txt,True,,True,,True,,True,,False,21,True,,
17.txt,False,,True,,True,,True,,True,,False,"7, 3, 24, 15, 32, 17, 20, 27, 11, 12, 2, 22, 18, 9, 31, 29, 19, 25, 10, 1, 26, 28, 14, 4, 5, 13, 23, 21, 30, 8, 6, 16",
12.txt,True,,True,,True,,True,,False,19,False,"24, 15, 17, 20, 27, 11, 12, 22, 35, 18, 31, 29, 34, 33, 19, 26, 10, 25, 28, 14, 13, 23, 21, 30, 32, 16",
10.txt,True,,True,,True,,True,,False,27,True,,
11.txt,True,,True,,True,,True,,True,,True,,
9.txt,True,,True,,True,,True,,True,,True,,
8.txt,False,,True,,True,,True,,False,5,False,"18, 7, 9, 3, 24, 25, 19, 10, 15, 1, 17, 26, 14, 4, 5, 23, 20, 13, 21, 11, 12, 2, 22, 8, 6, 16",
5.txt,True,,True,,True,,True,,True,,True,,
4.txt,True,,True,,True,,True,,False,"6, 7, 17, 18",True,,
6.txt,True,,True,,True,,True,,False,"3, 4, 28",True,,
7.txt,True,,True,,True,,True,,True,,True,,
3.txt,True,,True,,True,,True,,True,,True,,
2.txt,True,,True,,True,,True,,True,,True,,
1.txt,True,,True,,True,,True,,False,"6, 7",False,"18, 20, 21, 22, 19, 15, 17, 16",
20.txt,True,,True,,True,,True,,False,"3, 4, 6, 7",True,,
21.txt,True,,True,,True,,True,,True,,False,"42, 45, 62, 48, 55, 57, 60, 39, 56, 54, 37, 40, 27, 47, 46, 59, 36, 35, 41, 49, 58, 61, 31, 50, 29, 34, 33, 38, 26, 28, 44, 52, 30, 53, 43, 32, 51",
19.txt,True,,True,,True,,True,,True,,True,,
18.txt,True,,True,,True,,True,,True,,True,,
